step,queue_length,waiting_time,ns_avg_waiting_time,ew_avg_waiting_time
151,6,63.0,5.25,0.00
152,6,69.0,5.75,0.00
153,6,75.0,6.25,0.00
154,6,81.0,6.75,0.00
155,6,87.0,7.25,0.00
156,6,93.0,7.75,0.00
157,7,100.0,8.33,0.00
158,10,110.0,9.17,0.00
159,11,121.0,10.08,0.00
160,11,132.0,11.00,0.00
161,22,144.0,8.00,0.00
162,12,156.0,8.67,0.00
163,13,168.0,9.33,0.00
164,13,180.0,10.00,0.00
165,12,192.0,10.67,0.00
166,12,204.0,11.33,0.00
167,12,216.0,12.00,0.00
168,12,228.0,12.67,0.00
169,12,240.0,13.33,0.00
170,12,252.0,14.00,0.00
171,12,264.0,14.67,0.00
172,12,276.0,15.33,0.00
173,12,288.0,16.00,0.00
174,13,301.0,16.72,0.00
175,16,317.0,17.61,0.00
176,18,335.0,18.61,0.00
177,18,353.0,19.61,0.00
178,18,371.0,20.61,0.00
179,27,389.0,17.68,0.00
180,19,407.0,18.50,0.00
181,19,425.0,18.48,0.00
182,19,443.0,18.46,0.00
183,18,461.0,19.21,0.00
184,18,479.0,19.96,0.00
185,18,497.0,20.71,0.00
186,18,515.0,21.46,0.00
187,18,533.0,22.21,0.00
188,18,551.0,22.96,0.00
189,18,569.0,23.71,0.00
190,18,587.0,24.46,0.00
191,18,605.0,25.21,0.00
192,20,625.0,26.04,0.00
193,24,649.0,26.96,0.33
194,25,674.0,27.92,0.67
195,22,374.0,20.28,1.50
196,17,166.0,8.39,2.50
